epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.81,0,114.147,0,0,0,0,0,0,196.019,0,0.00035007,0.00035007,0.00035007
2,398.352,0,93.5815,0,0,0,0,0,0,124.475,0,0.000709714,0.000709714,0.000709714
3,597.675,0,82.3546,0,0,0,0,0,0,112.454,0,0.0010621,0.0010621,0.0010621
4,787.603,0,73.0028,0,0,0,0,0,0,84.0648,0,0.00140722,0.00140722,0.00140722
5,982.941,0,64.4767,0,0,0,0,0,0,353631,0,0.00160099,0.00160099,0.00160099
6,1169.01,0,56.9928,0,0,0,0,0,0,27415.4,0,0.00158448,0.00158448,0.00158448
7,1348.33,0,49.352,0,0,0,0,0,0,2457.73,0,0.00156798,0.00156798,0.00156798
8,1528.12,0,42.9001,0,0,0,0,0,0,26.7369,0,0.00155148,0.00155148,0.00155148
9,1707.1,0,37.0654,0,0,0,0,0,0,45.292,0,0.00153497,0.00153497,0.00153497
10,1888.45,0,31.1151,0,0,0,0,0,0,47.0231,0,0.00151847,0.00151847,0.00151847
11,2074.75,0,26.1128,0,0,0,0,0,0,37.5045,0,0.00150197,0.00150197,0.00150197
12,2254.86,0,21.7228,0,0,0,0,0,0,32.1016,0,0.00148546,0.00148546,0.00148546
13,2435.67,0,17.6896,0,0,0,0,0,0,27.2136,0,0.00146896,0.00146896,0.00146896
14,2619.56,0,14.3417,0,0,0,0,0,0,20.9467,0,0.00145246,0.00145246,0.00145246
15,2800.93,0,11.6025,0,0,0,0,0,0,16.1296,0,0.00143595,0.00143595,0.00143595
16,2982.29,0,9.39991,0,0,0,0,0,0,12.1951,0,0.00141945,0.00141945,0.00141945
17,3160.37,0,7.50601,0,0,0,0,0,0,9.70634,0,0.00140295,0.00140295,0.00140295
18,3343.05,0,6.09791,0,0,0,0,0,0,8.40614,0,0.00138644,0.00138644,0.00138644
19,3521.01,0,4.81379,0,0,0,0,0,0,6.17475,0,0.00136994,0.00136994,0.00136994
20,3697.53,0,3.83882,0,0,0,0,0,0,5.01697,0,0.00135344,0.00135344,0.00135344
21,3876.74,0,3.034,0,0,0,0,0,0,4.05206,0,0.00133693,0.00133693,0.00133693
22,4056.49,0,2.38207,0,0,0,0,0,0,3.23033,0,0.00132043,0.00132043,0.00132043
23,4235.68,0,1.87018,0,0,0,0,0,0,5.51985,0,0.00130393,0.00130393,0.00130393
24,4409.22,0,1.45171,0,0,0,0,0,0,3.37625,0,0.00128742,0.00128742,0.00128742
25,4585.32,0,1.1399,0,0,0,0,0,0,43.9016,0,0.00127092,0.00127092,0.00127092
26,4762.74,0,0.91246,0,0,0,0,0,0,1.09081,0,0.00125442,0.00125442,0.00125442
27,4934.98,0,0.69962,0,0,0,0,0,0,1.04286,0,0.00123791,0.00123791,0.00123791
28,5127.45,0,0.54299,0,0,0,0,0,0,0.78184,0,0.00122141,0.00122141,0.00122141
29,5305.46,0,0.40147,0,0,0,0,0,0,0.5191,0,0.00120491,0.00120491,0.00120491
30,5480.22,0,0.33794,0,0,0,0,0,0,0.5408,0,0.0011884,0.0011884,0.0011884
